,Date,AwayTeam,HomeTeam,AwayFirst,AwaySecond,AwayThird,AwayFourth,AwayFinal,AwayML,HomeFirst,HomeSecond,HomeThird,HomeFourth,HomeFinal,HomeML,Spread,Favorite,TotalPoints,day,month,year
228,2012-11-30,Denver,LALakers,27.0,30.0,25.0,21.0,103.0,200.0,34.0,37.0,26.0,25.0,122.0,-240.0,5.5,Home,205.5,30,11,2012.0
229,2012-12-01,Brooklyn,Miami,24.0,35.0,19.0,11.0,89.0,310.0,16.0,34.0,32.0,20.0,102.0,-380.0,8.0,Home,192.5,1,12,2012.0
230,2012-12-01,Portland,Cleveland,21.0,26.0,23.0,21.0,118.0,105.0,28.0,20.0,26.0,17.0,117.0,-125.0,1.5,Home,193.0,1,12,2012.0
231,2012-12-01,Philadelphia,Chicago,19.0,22.0,23.0,24.0,88.0,225.0,22.0,19.0,26.0,26.0,93.0,-265.0,6.5,Home,182.5,1,12,2012.0
232,2012-12-01,OklahomaCity,NewOrleans,30.0,24.0,30.0,16.0,100.0,-450.0,21.0,23.0,13.0,22.0,79.0,350.0,8.5,Away,193.5,1,12,2012.0
233,2012-12-01,Utah,Houston,28.0,21.0,37.0,30.0,116.0,220.0,28.0,30.0,27.0,39.0,124.0,-260.0,6.5,Home,206.5,1,12,2012.0
234,2012-12-01,Boston,Milwaukee,27.0,21.0,21.0,19.0,88.0,130.0,11.0,36.0,22.0,22.0,91.0,-150.0,3.0,Home,195.5,1,12,2012.0
235,2012-12-01,Memphis,SanAntonio,22.0,24.0,27.0,14.0,95.0,220.0,21.0,24.0,15.0,27.0,99.0,-260.0,6.0,Home,196.5,1,12,2012.0
236,2012-12-01,Detroit,Dallas,27.0,21.0,11.0,18.0,77.0,255.0,24.0,18.0,25.0,25.0,92.0,-310.0,7.0,Home,195.0,1,12,2012.0
237,2012-12-01,Sacramento,LAClippers,17.0,17.0,24.0,23.0,81.0,700.0,28.0,30.0,29.0,29.0,116.0,-1000.0,12.5,Home,196.5,1,12,2012.0
238,2012-12-01,Indiana,GoldenState,20.0,24.0,28.0,20.0,92.0,165.0,20.0,31.0,31.0,21.0,103.0,-185.0,5.0,Home,188.5,1,12,2012.0
239,2012-12-02,Phoenix,NewYork,20.0,22.0,30.0,27.0,99.0,625.0,24.0,35.0,30.0,17.0,106.0,-825.0,11.5,Home,199.5,2,12,2012.0
240,2012-12-02,Orlando,LALakers,23.0,29.0,21.0,40.0,113.0,1000.0,27.0,25.0,25.0,26.0,103.0,-1500.0,13.5,Home,197.5,2,12,2012.0
241,2012-12-03,Portland,Charlotte,26.0,25.0,19.0,32.0,118.0,-105.0,34.0,20.0,21.0,27.0,112.0,-115.0,1.0,Away,192.0,3,12,2012.0
242,2012-12-03,Cleveland,Detroit,17.0,22.0,24.0,16.0,79.0,-225.0,30.0,26.0,19.0,14.0,89.0,-225.0,5.0,Away,192.0,3,12,2012.0
243,2012-12-03,Milwaukee,NewOrleans,28.0,22.0,17.0,14.0,81.0,-175.0,30.0,23.0,24.0,25.0,102.0,155.0,4.0,Away,188.5,3,12,2012.0
244,2012-12-03,Toronto,Denver,24.0,20.0,31.0,35.0,110.0,510.0,29.0,32.0,28.0,24.0,113.0,-700.0,10.5,Home,201.0,3,12,2012.0
245,2012-12-03,LAClippers,Utah,19.0,32.0,22.0,32.0,105.0,-135.0,31.0,27.0,25.0,21.0,104.0,115.0,2.0,Away,197.0,3,12,2012.0
246,2012-12-03,Orlando,GoldenState,28.0,23.0,18.0,33.0,102.0,435.0,27.0,20.0,22.0,25.0,94.0,-545.0,9.5,Home,196.0,3,12,2012.0
247,2012-12-04,Miami,Washington,25.0,29.0,24.0,23.0,101.0,-700.0,30.0,30.0,22.0,23.0,105.0,500.0,10.0,Away,194.5,4,12,2012.0
